"accident_id";"city";"state";"latitude";"longitude";"date";"time";"hour";"day_of_week";"is_weekend";"road_type";"lanes";"traffic_signal";"weather";"visibility";"temperature";"traffic_density";"cause";"accident_severity";"vehicles_involved";"casualties";"is_peak_hour";"festival";"risk_score"
1;"Pune";"Maharashtra";18.680827;73.930388;"2023-10-22";"05:00:00";5;"Sunday";1;"highway";3;"1";"fog";"low";32.0;"high";"weather";"fatal";2;2;0;"No Festival";0.85
2;"Mumbai";"Maharashtra";18.817732;72.790846;"2023-05-21";"04:00:00";4;"Sunday";1;"urban";4;"0";"clear";"high";34.0;"low";"weather";"major";4;3;0;"No Festival";0.1
3;"Mumbai";"Maharashtra";19.096889;72.819424;"2024-07-10";"13:00:00";13;"Wednesday";0;"urban";3;"0";"fog";"low";21.0;"medium";"weather";"minor";1;1;0;"No Festival";0.45
4;"Chandigarh";"Punjab";30.787805;76.847507;"2025-03-30";"11:00:00";11;"Sunday";1;"urban";1;"1";"fog";"low";30.0;"high";"distraction";"minor";5;2;0;"No Festival";0.65
5;"Chennai";"Tamil Nadu";12.965155;80.283313;"2024-01-25";"16:00:00";16;"Thursday";0;"highway";3;"1";"clear";"high";24.0;"low";"distraction";"minor";2;1;0;"No Festival";0.1
6;"Delhi";"Delhi";28.79949;77.049666;"2024-07-29";"08:00:00";8;"Monday";0;"urban";5;"1";"clear";"high";36.0;"high";"overspeeding";"fatal";4;4;1;"No Festival";0.65
7;"Bangalore";"Karnataka";13.064327;77.530941;"2025-03-24";"06:00:00";6;"Monday";0;"highway";3;"0";"clear";"high";33.0;"high";"drunk driving";"minor";4;4;0;"No Festival";0.3
8;"Chandigarh";"Punjab";30.786617;76.733947;"2023-05-07";"14:00:00";14;"Sunday";1;"urban";3;"1";"clear";"high";25.0;"low";"weather";"major";3;0;0;"No Festival";0.1
9;"Hyderabad";"Telangana";17.422447;78.464881;"2022-02-25";"03:00:00";3;"Friday";0;"urban";1;"0";"rain";"low";22.0;"low";"poor road";"minor";1;0;0;"No Festival";0.45
10;"Bangalore";"Karnataka";12.939033;77.498966;"2024-03-31";"04:00:00";4;"Sunday";1;"rural";3;"1";"clear";"high";23.0;"low";"weather";"minor";1;0;0;"No Festival";0.1
